Water Control Zone,River,Dates,Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Water Temperature (°C)
Western Buffer,Pai Min Kok Stream,10/26/2005,102,8.6,8.9,6.1,24.3
Western Buffer,Pai Min Kok Stream,11/14/2005,103,8.4,8.1,6.2,25.9
Western Buffer,Pai Min Kok Stream,12/7/2005,101,10.6,8.2,4.4,13.2
Deep Bay,Ha Pak Nai Stream,1/10/2005,109,10.9,7.9,4.3,15.2
Deep Bay,Ha Pak Nai Stream,2/25/2005,103,9.5,7.3,3.4,19.4
Deep Bay,Ha Pak Nai Stream,3/14/2005,103,10.7,7.7,2.5,13.5
Deep Bay,Ha Pak Nai Stream,4/13/2005,100,9.7,6.5,127.5,16.6
Deep Bay,Ha Pak Nai Stream,5/13/2005,100,7.6,6.8,6.1,29.1
Deep Bay,Ha Pak Nai Stream,6/27/2005,100,7.7,7.6,7.9,29
Deep Bay,Ha Pak Nai Stream,7/20/2005,99,7.3,7.5,7.8,31
Deep Bay,Ha Pak Nai Stream,8/26/2005,97,7.8,6.7,5,26.5
Deep Bay,Ha Pak Nai Stream,9/21/2005,98,7.5,7.1,8.1,29.8
Deep Bay,Ha Pak Nai Stream,10/17/2005,101,8.2,7.4,7.2,26.1
Deep Bay,Ha Pak Nai Stream,11/17/2005,101,8.8,7.5,3.9,22.1
Deep Bay,Ha Pak Nai Stream,12/7/2005,99,10.2,7.1,4.8,13.9
Deep Bay,Tai Shui Hang Stream,1/10/2005,100,10.1,7.2,8.5,14.1
Deep Bay,Tai Shui Hang Stream,2/25/2005,93,8.8,7.2,4.2,18.5
Deep Bay,Tai Shui Hang Stream,3/14/2005,98,10.1,7.8,2.9,14.3
Deep Bay,Tai Shui Hang Stream,4/13/2005,99,9.6,7,207.6,16.9
Deep Bay,Tai Shui Hang Stream,5/13/2005,94,7.2,7,8,28.8
Deep Bay,Tai Shui Hang Stream,6/27/2005,100,7.8,7.7,7.2,28.5
Deep Bay,Tai Shui Hang Stream,7/20/2005,99,7.4,7.2,3.7,31
Deep Bay,Tai Shui Hang Stream,8/26/2005,97,7.8,6.9,4.6,26.4
Deep Bay,Tai Shui Hang Stream,9/21/2005,101,7.8,7,5,29.1
Deep Bay,Tai Shui Hang Stream,10/17/2005,99,8.2,7.4,5.7,25.1
Deep Bay,Tai Shui Hang Stream,11/17/2005,97,8.5,7.1,2.7,21.4
Deep Bay,Tai Shui Hang Stream,12/7/2005,97,10.2,7.1,2.6,12.8
Deep Bay,Pak Nai Stream,1/10/2005,101,10.2,7.4,2.9,14.8
Deep Bay,Pak Nai Stream,2/25/2005,82,7.6,6.9,3,19.1
Deep Bay,Pak Nai Stream,3/14/2005,92,9.3,7.2,2.6,14.5
Deep Bay,Pak Nai Stream,4/13/2005,88,8.5,6.3,124.7,17.2
Deep Bay,Pak Nai Stream,5/13/2005,89,6.9,6.6,10.4,28.8
Deep Bay,Pak Nai Stream,6/27/2005,98,7.3,7.3,22.2,30.6
Deep Bay,Pak Nai Stream,7/20/2005,99,7.3,7.1,9.3,31.6
Deep Bay,Pak Nai Stream,8/26/2005,93,7.5,6.2,9.7,26.6
Deep Bay,Pak Nai Stream,9/21/2005,98,7.4,6.7,13.6,30.1
Deep Bay,Pak Nai Stream,10/17/2005,100,8.1,7.1,11.6,25.9
Deep Bay,Pak Nai Stream,11/17/2005,99,8.5,7.2,7.5,23
Deep Bay,Pak Nai Stream,12/7/2005,97,9.9,6.8,4.2,14.2
Deep Bay,Sheung Pak Nai Stream,1/10/2005,112,11.1,7.4,9.1,15.8
Deep Bay,Sheung Pak Nai Stream,2/25/2005,105,9.5,7.1,4.1,20
Deep Bay,Sheung Pak Nai Stream,3/14/2005,102,10.5,7.3,5.2,14
Deep Bay,Sheung Pak Nai Stream,4/13/2005,98,9.4,6.3,160.8,17.4
Deep Bay,Sheung Pak Nai Stream,5/13/2005,97,7.6,6.7,6.7,28.6
Deep Bay,Sheung Pak Nai Stream,6/27/2005,101,7.7,7.4,11.7,29.7
Deep Bay,Sheung Pak Nai Stream,7/20/2005,105,7.8,7,11.4,31.2
Deep Bay,Sheung Pak Nai Stream,8/26/2005,96,7.7,6.4,6.2,27.2
Deep Bay,Sheung Pak Nai Stream,9/21/2005,107,7.9,6.8,9,31
Deep Bay,Sheung Pak Nai Stream,10/17/2005,115,9,7.2,14.4,28
Deep Bay,Sheung Pak Nai Stream,11/17/2005,111,9,7.1,10.5,25.7
Deep Bay,Sheung Pak Nai Stream,12/7/2005,99,10.2,6.9,4.7,13.9
Deep Bay,Ngau Hom Sha Stream,1/10/2005,105,9.9,7.5,6.3,18.1
Deep Bay,Ngau Hom Sha Stream,2/25/2005,82,7.3,7.5,10.5,21.1
Deep Bay,Ngau Hom Sha Stream,3/14/2005,93,9.3,7.5,10.1,15.2
Deep Bay,Ngau Hom Sha Stream,4/13/2005,91,8.6,7.1,156.7,17.8
Deep Bay,Ngau Hom Sha Stream,5/13/2005,89,6.6,7.2,7.6,30.8
Deep Bay,Ngau Hom Sha Stream,6/27/2005,94,7,7.2,8.6,30.8
Deep Bay,Ngau Hom Sha Stream,7/20/2005,111,7.9,7.1,3.7,33
Deep Bay,Ngau Hom Sha Stream,8/26/2005,86,6.8,6.7,5.1,27.3
Deep Bay,Ngau Hom Sha Stream,9/21/2005,87,6.4,6.9,5.9,31.5
Deep Bay,Ngau Hom Sha Stream,10/17/2005,105,8.2,7.3,4.6,28
Deep Bay,Ngau Hom Sha Stream,11/17/2005,97,8.1,7.2,5.6,24.7
Deep Bay,Ngau Hom Sha Stream,12/7/2005,92,9.3,7.2,3.5,15
Deep Bay,Tsang Kok Stream,1/10/2005,115,11.5,8.2,1.6,15.4
Deep Bay,Tsang Kok Stream,2/25/2005,103,9.5,7.7,5.7,19.5
Deep Bay,Tsang Kok Stream,3/14/2005,109,11.2,8.7,1.8,14.4
Deep Bay,Tsang Kok Stream,4/13/2005,95,9,7.4,158.9,18.1
Deep Bay,Tsang Kok Stream,5/13/2005,95,7.1,7.5,8.7,30.6
Deep Bay,Tsang Kok Stream,6/27/2005,107,8.2,7.6,6.4,29.1
Deep Bay,Tsang Kok Stream,7/20/2005,109,8.1,7.8,5.4,31.2
Deep Bay,Tsang Kok Stream,8/26/2005,103,8.3,7.2,6.4,26.3
Deep Bay,Tsang Kok Stream,9/21/2005,132,10.2,8.1,5.4,29
Deep Bay,Tsang Kok Stream,10/17/2005,109,8.9,7.6,6.1,25.3
Deep Bay,Tsang Kok Stream,11/17/2005,105,9.2,7.5,2.8,22.3
Deep Bay,Tsang Kok Stream,12/7/2005,100,10.4,7.4,2.8,13.7
Deep Bay,Fairview Park Nullah,1/14/2005,102,10.2,7.9,50.6,15.1
Deep Bay,Fairview Park Nullah,2/22/2005,64,6.7,7.2,10.6,12.3
Deep Bay,Fairview Park Nullah,3/18/2005,51,4.4,7.3,31.8,23.1
Deep Bay,Fairview Park Nullah,4/26/2005,72,5.5,7.5,38.1,26.2
Deep Bay,Fairview Park Nullah,5/19/2005,80,6.5,7.6,65.1,25.8
Deep Bay,Fairview Park Nullah,6/28/2005,53,3.9,7.4,14.3,31.6
Deep Bay,Fairview Park Nullah,7/27/2005,189,12.9,8.8,41.1,36
Deep Bay,Fairview Park Nullah,8/22/2005,50,3.8,7,34.2,29.6
Deep Bay,Fairview Park Nullah,9/29/2005,54,4.1,7.2,19.5,30.2
Deep Bay,Fairview Park Nullah,10/19/2005,185,13.6,8.3,21.7,28.6
Deep Bay,Fairview Park Nullah,11/16/2005,69,5.5,7.4,58.6,24.4
Deep Bay,Fairview Park Nullah,12/8/2005,21,1.9,7.1,68.2,19.9
Deep Bay,River Ganges,1/12/2005,60,5.7,7.6,39.2,17.2
Deep Bay,River Ganges,2/16/2005,25,2.2,7.4,202,21.5
Deep Bay,River Ganges,3/9/2005,32,2.7,7.5,51.1,22.5
Deep Bay,River Ganges,4/20/2005,28,2.3,7.6,166.7,27.1
Deep Bay,River Ganges,5/9/2005,49,4.1,7.5,545.9,23.7
Deep Bay,River Ganges,6/8/2005,109,8,7.6,22.7,31.6
Deep Bay,River Ganges,7/25/2005,87,6.3,7.3,23,31.9
Deep Bay,River Ganges,8/11/2005,71,5.6,7.3,76.5,27.5
Deep Bay,River Ganges,9/7/2005,71,5.3,7.4,25.7,31.6
Deep Bay,River Ganges,10/12/2005,75,5.8,7.3,29.3,28.5
Deep Bay,River Ganges,11/9/2005,49,3.8,8,337.7,27.9
Deep Bay,River Ganges,12/9/2005,48,4.3,7.4,26.5,20.2
Deep Bay,River Ganges,1/12/2005,53,5,7.3,53.1,18.1
Deep Bay,River Ganges,2/16/2005,20,1.7,6.7,70.7,22.1
Deep Bay,River Ganges,3/9/2005,30,2.5,7.2,33.2,23.7
Deep Bay,River Ganges,4/20/2005,16,1.3,7.1,27.9,28.2
Deep Bay,River Ganges,5/9/2005,62,5.3,7.3,334.4,23.3
Deep Bay,River Ganges,6/8/2005,64,4.8,7,22.7,30.1
Deep Bay,River Ganges,7/25/2005,64,4.7,7.1,18.8,31.5
Deep Bay,River Ganges,8/11/2005,73,5.8,7,132.3,27.1
Deep Bay,River Ganges,9/7/2005,70,5.2,6.8,17.3,31.1
Deep Bay,River Ganges,10/12/2005,88,6.9,7.2,20.2,27.9
Deep Bay,River Ganges,11/9/2005,85,6.6,7.2,39,28.1
Deep Bay,River Ganges,12/9/2005,78,6.8,7.2,10.8,22.3
Deep Bay,River Ganges,1/12/2005,89,8.6,7.3,23.2,17.1
Deep Bay,River Ganges,2/16/2005,85,7.5,6.8,13.5,21.7
Deep Bay,River Ganges,3/9/2005,87,7.8,7.2,13.6,20.7
Deep Bay,River Ganges,4/20/2005,70,5.9,7.1,28.3,24.5
Deep Bay,River Ganges,5/9/2005,95,8.2,7.7,469,23
Deep Bay,River Ganges,6/8/2005,80,6.4,6.8,11,26.9
Deep Bay,River Ganges,7/25/2005,97,7.7,7.2,4.2,27.1
Deep Bay,River Ganges,8/11/2005,95,7.6,7.3,23.9,26.8
Deep Bay,River Ganges,9/7/2005,97,7.8,7.1,8.8,26.8
Deep Bay,River Ganges,10/12/2005,102,8.4,7.2,12,25.2
Deep Bay,River Ganges,11/9/2005,95,7.9,7,9.6,24.8
Deep Bay,River Ganges,12/9/2005,89,8.2,6.8,18.2,19.5
Deep Bay,River Indus,1/12/2005,42,4,7.2,43.2,18.1
Deep Bay,River Indus,2/16/2005,48,4.2,6.8,51.6,21.9
Deep Bay,River Indus,3/9/2005,24,2.1,7.1,31.6,20.6
Deep Bay,River Indus,4/20/2005,20,1.6,7.1,54.5,27.6
Deep Bay,River Indus,5/9/2005,39,3.2,7.2,68.8,25.9
Deep Bay,River Indus,6/8/2005,36,2.8,6.9,17.3,27.9
Deep Bay,River Indus,7/25/2005,24,1.8,7.1,41.4,30.5
Deep Bay,River Indus,8/10/2005,73,5.6,7.1,30.7,28.7
Deep Bay,River Indus,9/7/2005,33,2.5,6.9,24,29.6
Deep Bay,River Indus,10/12/2005,61,4.8,7.1,13.1,27.4
Deep Bay,River Indus,11/9/2005,127,9.8,7.6,24.3,29
Deep Bay,River Indus,12/9/2005,51,4.6,7.2,46,20.5
Deep Bay,River Indus,1/12/2005,126,11.4,7.2,9.7,20.4
Deep Bay,River Indus,2/16/2005,88,7.6,6.5,9.3,22.8
Deep Bay,River Indus,3/9/2005,130,11,7.3,9.7,23.6
Deep Bay,River Indus,4/20/2005,179,13.4,7.5,14.9,30.5
Deep Bay,River Indus,5/9/2005,69,5.7,7.3,53.8,25
Deep Bay,River Indus,6/8/2005,81,6.4,6.9,8.2,27.3
Deep Bay,River Indus,7/25/2005,80,5.9,7,2.6,31.8
Deep Bay,River Indus,8/10/2005,87,6.8,7.1,34.7,28.5
Deep Bay,River Indus,9/7/2005,90,6.7,6.9,8.7,30.8
Deep Bay,River Indus,10/12/2005,112,8.9,7.2,5.2,27.4
Deep Bay,River Indus,11/9/2005,107,8.5,7.2,11.4,27.3
Deep Bay,River Indus,12/9/2005,92,8.3,6.8,14,20.5
Deep Bay,River Indus,1/12/2005,108,10.2,7.5,1.7,18
Deep Bay,River Indus,2/16/2005,83,7.4,7.1,2.4,21.4
Deep Bay,River Indus,3/9/2005,110,9.4,7.6,2.2,23.2
Deep Bay,River Indus,4/20/2005,83,6.5,7.3,6.8,27.5
Deep Bay,River Indus,5/9/2005,83,7,7.1,77.6,23.8
Deep Bay,River Indus,6/8/2005,111,8.2,7.2,3.8,31.2
Deep Bay,River Indus,7/25/2005,101,7.6,7.4,3.5,30
Deep Bay,River Indus,8/10/2005,90,7.1,7.3,115.9,27.6
Deep Bay,River Indus,9/7/2005,97,7.4,7.1,4.9,29.5
Deep Bay,River Indus,10/12/2005,104,8.2,7.3,3.6,27.2
Deep Bay,River Indus,11/9/2005,99,8,7.3,4.9,26.4
Deep Bay,River Indus,12/9/2005,104,9.1,7.3,4.9,22.3
Junk Bay,Tseng Lan Shue Stream,1/27/2005,98,9.5,7.8,1.6,17.1
Junk Bay,Tseng Lan Shue Stream,2/24/2005,96,9.3,7.7,1.1,17
Junk Bay,Tseng Lan Shue Stream,3/16/2005,98,9.6,7.9,1.8,16.5
Junk Bay,Tseng Lan Shue Stream,4/22/2005,97,8.2,7.7,1.3,23.6
Junk Bay,Tseng Lan Shue Stream,5/23/2005,102,8.3,8,6.3,25.9
Junk Bay,Tseng Lan Shue Stream,6/29/2005,98,8,7.8,1.5,25.5
Junk Bay,Tseng Lan Shue Stream,7/18/2005,100,7.8,7.8,0.5,27.7
Junk Bay,Tseng Lan Shue Stream,8/25/2005,99,8.1,7.7,3.2,25.9
Junk Bay,Tseng Lan Shue Stream,9/15/2005,100,8,7.8,1.8,26.8
Junk Bay,Tseng Lan Shue Stream,10/27/2005,102,8.6,7.7,1.4,23.8
Junk Bay,Tseng Lan Shue Stream,11/7/2005,110,9.1,7.7,0.7,24.9
Junk Bay,Tseng Lan Shue Stream,12/3/2005,104,9.4,8,0.8,20.3
Junk Bay,Tseng Lan Shue Stream,1/27/2005,61,5.8,7.3,10,18
Junk Bay,Tseng Lan Shue Stream,2/24/2005,52,4.9,7.2,9.1,18.5
Junk Bay,Tseng Lan Shue Stream,3/16/2005,42,4,7.2,6.5,17.6
Junk Bay,Tseng Lan Shue Stream,4/22/2005,48,4,7.3,11.5,24.7
Junk Bay,Tseng Lan Shue Stream,5/23/2005,93,7.5,7.3,4.5,26.6
Junk Bay,Tseng Lan Shue Stream,6/29/2005,88,7.1,7,2.6,26.1
Junk Bay,Tseng Lan Shue Stream,7/18/2005,81,6.1,7.1,2.4,30.3
Junk Bay,Tseng Lan Shue Stream,8/25/2005,88,7.4,6.9,3.3,24.5
Junk Bay,Tseng Lan Shue Stream,9/15/2005,77,5.9,6.9,2.2,28.8
Junk Bay,Tseng Lan Shue Stream,10/27/2005,64,5.3,7,4.8,24.6
Junk Bay,Tseng Lan Shue Stream,11/7/2005,66,5.3,7.1,47.1,26.6
Junk Bay,Tseng Lan Shue Stream,12/3/2005,57,4.9,7.2,6.7,22.4
Junk Bay,Tseng Lan Shue Stream,1/27/2005,71,6.5,7.6,15.5,20.2
Junk Bay,Tseng Lan Shue Stream,2/24/2005,75,6.7,7.6,10.9,20.4
Junk Bay,Tseng Lan Shue Stream,3/16/2005,75,7,7.7,11,19.2
Junk Bay,Tseng Lan Shue Stream,4/22/2005,78,6.4,7.6,9.7,24.8
Junk Bay,Tseng Lan Shue Stream,5/23/2005,97,7.8,7.8,3.5,26.5
Junk Bay,Tseng Lan Shue Stream,6/29/2005,91,7.3,7.6,6.4,26.4
Junk Bay,Tseng Lan Shue Stream,7/18/2005,89,6.8,7.7,2.8,29.5
Junk Bay,Tseng Lan Shue Stream,8/25/2005,93,7.6,7.6,5.4,25.5
Junk Bay,Tseng Lan Shue Stream,9/15/2005,87,6.7,7.5,2.2,28.3
Junk Bay,Tseng Lan Shue Stream,10/27/2005,85,7.1,7.4,15.7,24.7
Junk Bay,Tseng Lan Shue Stream,11/7/2005,96,7.7,7.5,7.8,26.7
Junk Bay,Tseng Lan Shue Stream,12/3/2005,92,7.9,7.7,3.1,22.6
Victoria Harbour,Kai Tak River,1/26/2005,76,6.2,7.2,1.8,22.1
Victoria Harbour,Kai Tak River,2/18/2005,70,5.7,7.1,11.1,22
Victoria Harbour,Kai Tak River,3/11/2005,86,7.1,7.2,1.8,22.4
Victoria Harbour,Kai Tak River,4/18/2005,94,7.3,7.1,10.2,24.8
Victoria Harbour,Kai Tak River,5/30/2005,60,4.5,7.3,2.7,28.3
Victoria Harbour,Kai Tak River,6/20/2005,58,4.4,7.3,29.8,27.9
Victoria Harbour,Kai Tak River,7/21/2005,71,5,7.3,2.9,30.5
Victoria Harbour,Kai Tak River,8/15/2005,82,6.4,7.6,27.1,27.7
Victoria Harbour,Kai Tak River,9/22/2005,93,6.6,7.3,3.3,30.5
Victoria Harbour,Kai Tak River,10/24/2005,95,7.1,7.5,2.2,27.7
Victoria Harbour,Kai Tak River,11/25/2005,96,7.3,7.4,3.1,25.7
Victoria Harbour,Kai Tak River,12/5/2005,88,7,7.1,9.5,23.6
Victoria Harbour,Kai Tak River,2/18/2005,71,5.9,7,5.3,21.5
Victoria Harbour,Kai Tak River,6/20/2005,73,5.4,7.1,35.7,28.6
Victoria Harbour,Kai Tak River,8/15/2005,93,7.3,7.6,29.9,27.3
Victoria Harbour,Kai Tak River,11/25/2005,95,7.3,7.3,6.2,25.5
Victoria Harbour,Kai Tak River,2/18/2005,78,6.5,7.2,25.6,21.1
Victoria Harbour,Kai Tak River,5/30/2005,109,8,7.5,1.6,28.4
Victoria Harbour,Kai Tak River,8/15/2005,93,7.1,7.5,17,28.1
Victoria Harbour,Kai Tak River,11/25/2005,104,8,7.4,2.3,25.7
Victoria Harbour,Kai Tak River,1/26/2005,94,7.6,7.2,305.5,22.6
Victoria Harbour,Kai Tak River,2/18/2005,96,7.7,7.2,3.8,22.9
Victoria Harbour,Kai Tak River,3/11/2005,93,7.7,7.2,1.7,22.6
Victoria Harbour,Kai Tak River,4/18/2005,112,8.7,7.3,2.6,25.1
Victoria Harbour,Kai Tak River,5/30/2005,115,8.5,7.6,1.5,28.4
Victoria Harbour,Kai Tak River,6/20/2005,98,7.1,7.4,2.8,29.2
Victoria Harbour,Kai Tak River,7/21/2005,101,7.2,7.3,0.8,30.9
Victoria Harbour,Kai Tak River,8/15/2005,95,7.3,7.4,27.4,27.7
Victoria Harbour,Kai Tak River,9/22/2005,107,7.5,7.3,1.1,31.1
Victoria Harbour,Kai Tak River,10/24/2005,108,8.1,7.5,1.5,28.1
Victoria Harbour,Kai Tak River,11/25/2005,107,8.2,7.4,3.8,25.8
Victoria Harbour,Kai Tak River,12/5/2005,98,7.7,7.3,2.4,23.9
Victoria Harbour,Kai Tak River,1/26/2005,98,7.9,7.2,3.9,22.7
Victoria Harbour,Kai Tak River,2/18/2005,96,7.8,7.2,4.1,22.7
Victoria Harbour,Kai Tak River,3/11/2005,96,7.9,7.2,1.8,22.6
Victoria Harbour,Kai Tak River,4/18/2005,110,8.5,7.3,2.7,25.3
Victoria Harbour,Kai Tak River,5/30/2005,121,8.9,7.6,0.9,28.8
Victoria Harbour,Kai Tak River,6/20/2005,97,7.1,7.4,0.9,29.4
Victoria Harbour,Kai Tak River,7/21/2005,104,7.3,7.3,0.6,31.1
Victoria Harbour,Kai Tak River,8/15/2005,90,6.5,7.3,4.8,29.5
Victoria Harbour,Kai Tak River,9/22/2005,105,7.4,7.3,2,31.2
Victoria Harbour,Kai Tak River,10/24/2005,109,8.1,7.5,1.4,28.3
Victoria Harbour,Kai Tak River,11/25/2005,107,8.2,7.3,1.4,25.9
Victoria Harbour,Kai Tak River,12/5/2005,99,7.8,7.3,2.4,24.2
Victoria Harbour,Kai Tak River,1/26/2005,96,7.8,7.2,7.4,22.7
Victoria Harbour,Kai Tak River,2/18/2005,98,8,7.2,4.5,22.8
Victoria Harbour,Kai Tak River,3/11/2005,98,8,7.1,1.2,22.7
Victoria Harbour,Kai Tak River,4/18/2005,94,7.3,7.1,0.6,25
Victoria Harbour,Kai Tak River,5/30/2005,100,7.4,7.3,1.3,28.4
Victoria Harbour,Kai Tak River,6/20/2005,97,7,7.4,2.1,29.4
Victoria Harbour,Kai Tak River,7/21/2005,94,6.7,7.2,0.6,30.8
Victoria Harbour,Kai Tak River,8/15/2005,95,6.8,7.3,1.2,30.1
Victoria Harbour,Kai Tak River,9/22/2005,96,6.8,7.2,0.7,31.1
Victoria Harbour,Kai Tak River,10/24/2005,104,7.8,7.3,1.2,28.1
Victoria Harbour,Kai Tak River,11/25/2005,100,7.7,7.2,3.4,25.9
Victoria Harbour,Kai Tak River,12/5/2005,97,7.6,7.3,3.4,24.6
Deep Bay,Kam Tin River,1/14/2005,68,7.1,7.4,18.6,13.8
Deep Bay,Kam Tin River,2/22/2005,39,4,7.4,17.2,14.5
Deep Bay,Kam Tin River,3/18/2005,40,3.6,7.3,19.2,20
Deep Bay,Kam Tin River,4/26/2005,34,2.8,7.3,30.8,25.5
Deep Bay,Kam Tin River,5/19/2005,54,4.3,7.3,11.1,26.8
Deep Bay,Kam Tin River,6/28/2005,55,4.3,7.2,7.4,28.4
Deep Bay,Kam Tin River,7/27/2005,62,4.7,7.2,5.1,30.5
Deep Bay,Kam Tin River,8/22/2005,84,6.7,7.3,12.1,27.2
Deep Bay,Kam Tin River,9/29/2005,41,3.2,7.1,7.7,27.1
Deep Bay,Kam Tin River,10/19/2005,64,5.2,7.3,16,26.6
Deep Bay,Kam Tin River,11/16/2005,50,4.2,7.2,22.8,23.7
Deep Bay,Kam Tin River,12/8/2005,13,1.2,7.3,215.6,19.4
Deep Bay,Kam Tin River,1/14/2005,56,5.7,7.4,125.5,13.9
Deep Bay,Kam Tin River,2/22/2005,59,6.2,7.3,103.8,13.7
Deep Bay,Kam Tin River,3/18/2005,45,4,7.2,49.4,20.8
Deep Bay,Kam Tin River,4/26/2005,30,2.4,7.5,107.2,26.5
Deep Bay,Kam Tin River,5/19/2005,34,2.7,7.4,54.6,27.3
Deep Bay,Kam Tin River,6/28/2005,64,4.8,7.3,11.9,29.8
Deep Bay,Kam Tin River,7/27/2005,23,1.7,7.3,17.6,30.5
Deep Bay,Kam Tin River,8/22/2005,93,7.2,7.3,10.9,28.1
Deep Bay,Kam Tin River,9/29/2005,76,6,7.1,9.6,27.5
Deep Bay,Kam Tin River,10/19/2005,36,2.9,7.3,21.7,26.6
Deep Bay,Kam Tin River,11/16/2005,22,1.9,7.3,63.3,23.4
Deep Bay,Kam Tin River,12/8/2005,38,3.5,7.2,37.4,19.1
Victoria Harbour,Kau Wa Keng Stream,1/20/2005,92,8.8,7.5,5.6,16.5
Victoria Harbour,Kau Wa Keng Stream,2/17/2005,92,8,7.4,6.2,21.4
Victoria Harbour,Kau Wa Keng Stream,3/17/2005,109,9.7,7.8,3.2,19.8
Victoria Harbour,Kau Wa Keng Stream,4/21/2005,118,9.8,8.4,3.1,23.5
Victoria Harbour,Kau Wa Keng Stream,5/25/2005,102,8.1,7.6,3.9,26.4
Victoria Harbour,Kau Wa Keng Stream,6/16/2005,99,7.9,7.1,3.1,26.1
Victoria Harbour,Kau Wa Keng Stream,7/14/2005,100,7.7,7.4,1.2,28
Victoria Harbour,Kau Wa Keng Stream,8/12/2005,99,7.8,8.6,3.8,27.4
Victoria Harbour,Kau Wa Keng Stream,9/16/2005,101,7.9,7.4,3.2,27.3
Victoria Harbour,Kau Wa Keng Stream,10/26/2005,104,8.6,9.1,5.2,24.3
Victoria Harbour,Kau Wa Keng Stream,11/14/2005,97,7.9,7.2,5.9,24.9
Victoria Harbour,Kau Wa Keng Stream,12/7/2005,103,10.1,7.7,2.2,15.5
Tolo Harbour And Channel,Kwun Yam Shan Stream,1/26/2005,95,9.1,7.9,0.7,17.1
Tolo Harbour And Channel,Kwun Yam Shan Stream,2/18/2005,93,9.2,7.7,3.4,15.7
Tolo Harbour And Channel,Kwun Yam Shan Stream,3/11/2005,93,8.8,7.6,1.6,17.8
Tolo Harbour And Channel,Kwun Yam Shan Stream,4/18/2005,95,8.5,7.9,1.3,20.7
Tolo Harbour And Channel,Kwun Yam Shan Stream,5/30/2005,99,8.2,7.7,1.2,24.7
Tolo Harbour And Channel,Kwun Yam Shan Stream,6/20/2005,96,8,8.2,3.5,24.3
Tolo Harbour And Channel,Kwun Yam Shan Stream,7/21/2005,97,7.7,8,1.2,27.1
Tolo Harbour And Channel,Kwun Yam Shan Stream,8/15/2005,95,7.9,7.4,10.6,24.9
Tolo Harbour And Channel,Kwun Yam Shan Stream,9/22/2005,100,7.9,7.5,1.9,27.1
Tolo Harbour And Channel,Kwun Yam Shan Stream,10/24/2005,99,8.7,7.9,2.6,21.6
Tolo Harbour And Channel,Kwun Yam Shan Stream,11/25/2005,105,9.6,8.4,2.1,19.6
Tolo Harbour And Channel,Kwun Yam Shan Stream,12/5/2005,97,9.5,8.4,2.2,16
Southern,Mui Wo River,1/19/2005,98,9.1,7.2,8.2,18.7
Southern,Mui Wo River,2/21/2005,98,10.2,7.1,0.2,13.3
Southern,Mui Wo River,3/7/2005,117,11,7.1,0.9,18.4
Southern,Mui Wo River,4/15/2005,91,7.1,7.5,2.6,21
Southern,Mui Wo River,5/12/2005,88,7.2,6.7,0.8,25.2
Southern,Mui Wo River,6/13/2005,94,7.4,6.8,4.8,26.6
Southern,Mui Wo River,7/13/2005,103,7.8,7,1.5,29.7
Southern,Mui Wo River,8/17/2005,96,7.9,6.9,3.2,25.2
Southern,Mui Wo River,9/28/2005,105,8.2,6.9,2.5,28
Southern,Mui Wo River,10/20/2005,113,8.8,7.3,2.3,26.5
Southern,Mui Wo River,11/11/2005,102,8.1,7.1,1.9,27.1
Southern,Mui Wo River,12/6/2005,107,10.5,7.1,2.2,15.6
Southern,Mui Wo River,1/19/2005,83,7.8,7.5,1.1,17.7
Southern,Mui Wo River,2/21/2005,93,9.9,7.4,2.1,11.6
Southern,Mui Wo River,3/7/2005,121,11,7.4,4.1,19
Southern,Mui Wo River,4/15/2005,87,6.7,7.8,3.6,21.2
Southern,Mui Wo River,5/12/2005,88,7.1,7.3,2.7,25.3
Southern,Mui Wo River,6/13/2005,93,7.3,7.3,9.1,26.8
Southern,Mui Wo River,7/13/2005,98,7.6,7.4,4,28.3
Southern,Mui Wo River,8/17/2005,94,7.6,7.1,7.3,25.8
Southern,Mui Wo River,9/28/2005,109,8.6,7.4,5.1,28
Southern,Mui Wo River,10/20/2005,113,8.9,7.6,3.1,26.1
Southern,Mui Wo River,11/11/2005,115,9.2,6.9,15.2,26.9
Southern,Mui Wo River,12/6/2005,108,10.6,7.4,1.9,14.5
Southern,Mui Wo River,1/19/2005,77,7.2,7.1,1.2,18.9
Southern,Mui Wo River,2/21/2005,88,9,7.1,1.5,14.6
Southern,Mui Wo River,3/7/2005,114,10.4,7.1,0.8,20
Southern,Mui Wo River,4/15/2005,94,8.3,7,1.1,21.1
Southern,Mui Wo River,5/12/2005,91,7.5,7.2,0.1,24.9
Southern,Mui Wo River,6/13/2005,91,7.4,6.9,1.7,25.9
Southern,Mui Wo River,7/13/2005,97,7.6,7.1,1.8,28.2
Southern,Mui Wo River,8/17/2005,96,8,7,2.2,25.2
Southern,Mui Wo River,9/28/2005,104,8.1,7,1.6,28.1
Southern,Mui Wo River,10/20/2005,113,9.1,7.1,2,26.5
Southern,Mui Wo River,11/11/2005,120,9.1,7.6,3.9,28.8
Southern,Mui Wo River,12/6/2005,107,10.5,7.1,1.2,16.3
Southern,Mui Wo River,1/19/2005,94,7.9,6.7,4.2,20.4
Southern,Mui Wo River,2/21/2005,91,8.4,7,1.9,12.6
